"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
1;"A";"A";"Agriculture, forestry and fishing";""
2;"A01";"A 01";"Crop and animal production, hunting and related service activities";""
3;"A011";"A 011";"Growing of non-perennial crops";""
4;"A0111";"A 0111";"Growing of cereals (except rice), leguminous crops and oil seeds";""
4;"A0112";"A 0112";"Growing of rice";""
4;"A0113";"A 0113";"Growing of vegetables and melons, roots and tubers";""
4;"A0114";"A 0114";"Growing of sugar cane";""
4;"A0115";"A 0115";"Growing of tobacco";""
4;"A0116";"A 0116";"Growing of fibre crops";""
4;"A0119";"A 0119";"Growing of other non-perennial crops";""
3;"A012";"A 012";"Growing of perennial crops";""
4;"A0121";"A 0121";"Growing of grapes";""
4;"A0122";"A 0122";"Growing of tropical and subtropical fruits";""
4;"A0123";"A 0123";"Growing of citrus fruits";""
4;"A0124";"A 0124";"Growing of pome fruits and stone fruits";""
4;"A0125";"A 0125";"Growing of other tree and bush fruits and nuts";""
4;"A0126";"A 0126";"Growing of oleaginous fruits";""
4;"A0127";"A 0127";"Growing of beverage crops";""
4;"A0128";"A 0128";"Growing of spices, aromatic, drug and pharmaceutical crops";""
4;"A0129";"A 0129";"Growing of other perennial crops";""
3;"A013";"A 013";"Plant propagation";""
4;"A0130";"A 0130";"Plant propagation";""
3;"A014";"A 014";"Animal production";""
4;"A0141";"A 0141";"Raising of cattle and buffaloes";""
4;"A0142";"A 0142";"Raising of horses and other equines";""
4;"A0143";"A 0143";"Raising of camels and camelids";""
4;"A0144";"A 0144";"Raising of sheep and goats";""
4;"A0145";"A 0145";"Raising of swine/pigs";""
4;"A0146";"A 0146";"Raising of poultry";""
4;"A0149";"A 0149";"Raising of other animals";""
3;"A015";"A 015";"Mixed farming";""
4;"A0150";"A 0150";"Mixed farming";""
3;"A016";"A 016";"Support activities to agriculture and post-harvest crop activities";""
4;"A0161";"A 0161";"Support activities for crop production";""
4;"A0162";"A 0162";"Support activities for animal production";""
4;"A0163";"A 0163";"Post-harvest crop activities";""
4;"A0164";"A 0164";"Seed processing for propagation";""
3;"A017";"A 017";"Hunting, trapping and related service activities";""
4;"A0170";"A 0170";"Hunting, trapping and related service activities";""
2;"A02";"A 02";"Forestry and logging";""
3;"A021";"A 021";"Silviculture and other forestry activities";""
4;"A0210";"A 0210";"Silviculture and other forestry activities";""
3;"A022";"A 022";"Logging";""
4;"A0220";"A 0220";"Logging";""
