"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
1;"A";"A";"LAND- UND FORSTWIRTSCHAFT, FISCHEREI";""
2;"A01";"A 01";"Landwirtschaft, Jagd und damit verbundene Tätigkeiten";""
3;"A011";"A 01.1";"Anbau ein- und zweijähriger Pflanzen";""
4;"A0111";"A 01.11";"Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten";""
4;"A0112";"A 01.12";"Anbau von Reis";""
4;"A0113";"A 01.13";"Anbau von Gemüse und Melonen sowie Wurzeln und Knollen";""
4;"A0114";"A 01.14";"Anbau von Zuckerrohr";""
4;"A0115";"A 01.15";"Anbau von Tabak";""
4;"A0116";"A 01.16";"Anbau von Faserpflanzen";""
4;"A0119";"A 01.19";"Anbau von sonstigen ein- und zweijährigen Pflanzen";""
3;"A012";"A 01.2";"Anbau mehrjähriger Pflanzen";""
4;"A0121";"A 01.21";"Anbau von Wein- und Tafeltrauben";""
4;"A0122";"A 01.22";"Anbau von tropischen und subtropischen Früchten";""
4;"A0123";"A 01.23";"Anbau von Zitrusfrüchten";""
4;"A0124";"A 01.24";"Anbau von Kern- und Steinobst";""
4;"A0125";"A 01.25";"Anbau von sonstigem Obst und Nüssen";""
4;"A0126";"A 01.26";"Anbau von ölhaltigen Früchten";""
4;"A0127";"A 01.27";"Anbau von Pflanzen zur Herstellung von Getränken";""
4;"A0128";"A 01.28";"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke";""
4;"A0129";"A 01.29";"Anbau sonstiger mehrjähriger Pflanzen";""
3;"A013";"A 01.3";"Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken";""
4;"A0130";"A 01.30";"Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken";""
3;"A014";"A 01.4";"Tierhaltung";""
4;"A0141";"A 01.41";"Haltung von Milchkühen";""
4;"A0142";"A 01.42";"Haltung von sonstigen Rindern";""
4;"A0143";"A 01.43";"Haltung von Pferden und Eseln";""
4;"A0144";"A 01.44";"Haltung von Kamelen";""
4;"A0145";"A 01.45";"Haltung von Schafen und Ziegen";""
4;"A0146";"A 01.46";"Haltung von Schweinen";""
4;"A0147";"A 01.47";"Haltung von Geflügel";""
4;"A0148";"A 01.48";"Sonstige Tierhaltung";""
3;"A015";"A 01.5";"Gemischte Landwirtschaft";""
4;"A0150";"A 01.50";"Gemischte Landwirtschaft";""
3;"A016";"A 01.6";"Erbringung von landwirtschaftlichen Dienstleistungen und nach der Ernte anfallende Tätigkeiten";""
4;"A0161";"A 01.61";"Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau";""
4;"A0162";"A 01.62";"Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung";""
4;"A0163";"A 01.63";"Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung";""
3;"A017";"A 01.7";"Jagd, Fallenstellerei und damit verbundene Tätigkeiten";""
4;"A0170";"A 01.70";"Jagd, Fallenstellerei und damit verbundene Tätigkeiten";""
2;"A02";"A 02";"Forstwirtschaft und Holzeinschlag";""
3;"A021";"A 02.1";"Forstwirtschaft";""
4;"A0210";"A 02.10";"Forstwirtschaft";""
3;"A022";"A 02.2";"Holzeinschlag";""
4;"A0220";"A 02.20";"Holzeinschlag";""
3;"A023";"A 02.3";"Sammeln von wildwachsenden Produkten, ohne Holz";""
4;"A0230";"A 02.30";"Sammeln von wildwachsenden Produkten, ohne Holz";""
3;"A024";"A 02.4";"Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag";""
4;"A0240";"A 02.40";"Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag";""
2;"A03";"A 03";"Fischerei und Aquakultur";""
3;"A031";"A 03.1";"Fischerei";""
4;"A0311";"A 03.11";"Meeresfischerei";""
4;"A0312";"A 03.12";"Süßwasserfischerei";""
3;"A032";"A 03.2";"Aquakultur";""
4;"A0321";"A 03.21";"Meeresaquakultur";""
4;"A0322";"A 03.22";"Süßwasseraquakultur";""
3;"A033";"A 03.3";"Erbringung von Dienstleistungen für Fischerei und Aquakultur";""
4;"A0330";"A 03.30";"Erbringung von Dienstleistungen für Fischerei und Aquakultur";""
1;"B";"B";"BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN";""
2;"B05";"B 05";"Kohlenbergbau";""
3;"B051";"B 05.1";"Steinkohlenbergbau";""
4;"B0510";"B 05.10";"Steinkohlenbergbau";""
3;"B052";"B 05.2";"Braunkohlenbergbau";""
4;"B0520";"B 05.20";"Braunkohlenbergbau";""
2;"B06";"B 06";"Gewinnung von Erdöl und Erdgas";""
3;"B061";"B 06.1";"Gewinnung von Erdöl";""
4;"B0610";"B 06.10";"Gewinnung von Erdöl";""
3;"B062";"B 06.2";"Gewinnung von Erdgas";""
4;"B0620";"B 06.20";"Gewinnung von Erdgas";""
2;"B07";"B 07";"Erzbergbau";""
3;"B071";"B 07.1";"Eisenerzbergbau";""
4;"B0710";"B 07.10";"Eisenerzbergbau";""
3;"B072";"B 07.2";"NE-Metallerzbergbau";""
4;"B0721";"B 07.21";"Bergbau auf Uran- und Thoriumerze";""
4;"B0729";"B 07.29";"Sonstiger NE-Metallerzbergbau";""
2;"B08";"B 08";"Gewinnung von Steinen und Erden, sonstiger Bergbau";""
3;"B081";"B 08.1";"Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin";""
4;"B0811";"B 08.11";"Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein";""
4;"B0812";"B 08.12";"Gewinnung von Kies und Sand, Ton und Kaolin";""
3;"B089";"B 08.9";"Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g.";""
4;"B0891";"B 08.91";"Bergbau auf chemische und Düngemittelminerale";""
4;"B0892";"B 08.92";"Torfgewinnung";""
4;"B0893";"B 08.93";"Gewinnung von Salz";""
4;"B0899";"B 08.99";"Gewinnung von Steinen und Erden a. n. g.";""
2;"B09";"B 09";"Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden";""
3;"B091";"B 09.1";"Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas";""
4;"B0910";"B 09.10";"Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas";""
3;"B099";"B 09.9";"Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden";""
4;"B0990";"B 09.90";"Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden";""
1;"C";"C";"VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN";""
2;"C10";"C 10";"Herstellung von Nahrungs- und Futtermitteln";""
3;"C101";"C 10.1";"Schlachten und Fleischverarbeitung";""
4;"C1011";"C 10.11";"Schlachten, ohne Schlachten von Geflügel";""
4;"C1012";"C 10.12";"Schlachten von Geflügel";""
4;"C1013";"C 10.13";"Fleischverarbeitung";""
3;"C102";"C 10.2";"Fischverarbeitung";""
