"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
1;"A";"A";"AGRICULTURE, FORESTRY AND FISHING";""
2;"A01";"A 01";"Crop and animal production, hunting and related service activities";""
3;"A011";"A 01.1";"Growing of non-perennial crops";""
4;"A0111";"A 01.11";"Growing of cereals (except rice), leguminous crops and oil seeds";""
5;"A01110";"A 01.11-0";"Growing of cereals (except rice), leguminous crops and oil seeds";""
4;"A0112";"A 01.12";"Growing of rice";""
5;"A01120";"A 01.12-0";"Growing of rice";""
4;"A0113";"A 01.13";"Growing of vegetables and melons, roots and tubers";""
5;"A01130";"A 01.13-0";"Growing of vegetables and melons, roots and tubers";""
4;"A0114";"A 01.14";"Growing of sugar cane";""
5;"A01140";"A 01.14-0";"Growing of sugar cane";""
4;"A0115";"A 01.15";"Growing of tobacco";""
5;"A01150";"A 01.15-0";"Growing of tobacco";""
4;"A0116";"A 01.16";"Growing of fibre crops";""
5;"A01160";"A 01.16-0";"Growing of fibre crops";""
4;"A0119";"A 01.19";"Growing of other non-perennial crops";""
5;"A01190";"A 01.19-0";"Growing of other non-perennial crops";""
3;"A012";"A 01.2";"Growing of perennial crops";""
4;"A0121";"A 01.21";"Growing of grapes";""
5;"A01210";"A 01.21-0";"Growing of grapes";""
4;"A0122";"A 01.22";"Growing of tropical and subtropical fruits";""
5;"A01220";"A 01.22-0";"Growing of tropical and subtropical fruits";""
4;"A0123";"A 01.23";"Growing of citrus fruits";""
5;"A01230";"A 01.23-0";"Growing of citrus fruits";""
4;"A0124";"A 01.24";"Growing of pome fruits and stone fruits";""
5;"A01240";"A 01.24-0";"Growing of pome fruits and stone fruits";""
4;"A0125";"A 01.25";"Growing of other tree and bush fruits and nuts";""
5;"A01250";"A 01.25-0";"Growing of other tree and bush fruits and nuts";""
4;"A0126";"A 01.26";"Growing of oleaginous fruits";""
5;"A01260";"A 01.26-0";"Growing of oleaginous fruits";""
4;"A0127";"A 01.27";"Growing of beverage crops";""
5;"A01270";"A 01.27-0";"Growing of beverage crops";""
4;"A0128";"A 01.28";"Growing of spices, aromatic, drug and pharmaceutical crops";""
5;"A01280";"A 01.28-0";"Growing of spices, aromatic, drug and pharmaceutical crops";""
4;"A0129";"A 01.29";"Growing of other perennial crops";""
5;"A01290";"A 01.29-0";"Growing of other perennial crops";""
3;"A013";"A 01.3";"Plant propagation";""
4;"A0130";"A 01.30";"Plant propagation";""
